rideshare_company,pickup_zone,dropoff_zone,trip_length_miles,trip_time_seconds,base_passenger_fare_dollars,tolls_dollars,black_car_fund_dollars,sales_tax_dollars,congestion_surcharge_dollars,airport_fee_dollars,tip_dollars,driver_pay_dollars,driver_total_pay_dollars,good_fare,request_month,request_date,request_hour,request_minute,request_day_of_week,time_of_day,pickup_borough,dropoff_borough,tip_or_no_tip
Uber,Crown Heights North,Brownsville,1.68,551,13.39,0,0.4,1.19,0,0,0,7.66,7.66,FALSE,Feb,27,17,2,Mon,afternoon,Brooklyn,Brooklyn,FALSE
Lyft,Norwood,Outside of NYC,3.26,504,11.43,0,0.34,1.02,0,0,0,8.78,8.78,FALSE,Feb,27,17,22,Mon,afternoon,Bronx,Bronx,FALSE
Uber,JFK Airport,Outside of NYC,35.26,3651,100.92,8.3,3.35,9.92,0,2.5,24.99,83.48,108.47,TRUE,Feb,27,17,36,Mon,afternoon,Queens,Queens,TRUE
Lyft,Fort Greene,Prospect-Lefferts Gardens,4.072,1572,22.15,0,0.66,1.97,0,0,0,21.3,21.3,FALSE,Feb,27,17,42,Mon,afternoon,Brooklyn,Brooklyn,FALSE
Uber,East Chelsea,Outside of NYC,3.78,845,20.7,20,1.22,0,0,0,6.28,14.77,21.05,FALSE,Feb,27,17,59,Mon,afternoon,Manhattan,Manhattan,TRUE
Uber,Fresh Meadows,Bay Terrace/Fort Totten,5.14,859,18,0,0.54,1.6,0,0,4,14.34,18.34,FALSE,Feb,27,18,39,Mon,evening,Queens,Queens,TRUE
Uber,Union Sq,West Village,1.85,957,15.28,0,0.46,1.36,2.75,0,0,11.6,11.6,FALSE,Feb,27,18,52,Mon,evening,Manhattan,Manhattan,FALSE
Uber,Midtown Center,UN/Turtle Bay South,1.1,401,18.21,0,0.55,1.62,2.75,0,0,11.85,11.85,FALSE,Feb,27,19,12,Mon,evening,Manhattan,Manhattan,FALSE
Uber,Union Sq,Washington Heights North,9.6,1550,35.75,0,1.07,3.17,2.75,0,0,31.35,31.35,FALSE,Feb,27,19,18,Mon,evening,Manhattan,Manhattan,FALSE
Lyft,Stuyvesant Heights,Williamsburg (South Side),2.281,931,13.4,0,0.4,1.19,0,0,0,11.55,11.55,FALSE,Feb,27,19,43,Mon,evening,Brooklyn,Brooklyn,FALSE
Uber,Lincoln Square West,Lincoln Square East,0.99,627,10.55,0,0.32,0.94,2.75,0,0,8.12,8.12,FALSE,Feb,27,19,46,Mon,evening,Manhattan,Manhattan,FALSE
Lyft,UN/Turtle Bay South,Kips Bay,0.773,253,6.46,0,0.19,0.57,2.75,0,0,5.47,5.47,FALSE,Feb,27,20,12,Mon,evening,Manhattan,Manhattan,FALSE
Uber,Flatlands,Flatbush/Ditmas Park,0.64,240,7.86,0,0.24,0.7,0,0,0,5.57,5.57,FALSE,Feb,27,20,33,Mon,evening,Brooklyn,Brooklyn,FALSE
Uber,Union Sq,West Village,1.54,489,9.41,0,0.28,0.84,0.75,0,0,6.74,6.74,FALSE,Feb,27,20,40,Mon,evening,Manhattan,Manhattan,FALSE
Uber,Fort Greene,Bedford,1.66,584,10.64,0,0.32,0.94,0,0,0,7.49,7.49,FALSE,Feb,27,21,2,Mon,evening,Brooklyn,Brooklyn,FALSE
Uber,Little Italy/NoLiTa,Lower East Side,0.55,251,16.2,0,0.49,1.44,2.75,0,0,7.4,7.4,FALSE,Feb,27,21,39,Mon,evening,Manhattan,Manhattan,FALSE
Uber,Upper West Side South,Upper East Side North,1.65,488,10.12,0,0.3,0.9,2.75,0,0,8.36,8.36,FALSE,Feb,27,22,3,Mon,night,Manhattan,Manhattan,FALSE
Uber,Gramercy,Greenwich Village South,1.36,491,10.93,0,0.33,0.97,2.75,0,0,11.94,11.94,FALSE,Feb,27,22,27,Mon,night,Manhattan,Manhattan,FALSE
Lyft,Elmhurst,Central Harlem,7.817,1507,26.71,6.09,0.98,2.91,0,0,0,23.8,23.8,FALSE,Feb,28,0,23,Tue,night,Queens,Queens,FALSE
Lyft,Woodhaven,South Ozone Park,2.307,978,11.56,0,0.35,1.03,0,0,0,16.78,16.78,FALSE,Feb,28,0,31,Tue,night,Queens,Queens,FALSE
Lyft,Astoria,Meatpacking/West Village West,9.537,1793,30.04,2.11,0.96,2.85,2.75,0,0,28.61,28.61,FALSE,Feb,28,0,38,Tue,night,Queens,Queens,FALSE
Uber,Astoria,Queensbridge/Ravenswood,0.95,221,7.97,0,0.24,0.71,0,0,0,5.38,5.38,FALSE,Feb,28,1,34,Tue,night,Queens,Queens,FALSE
Lyft,Soundview/Bruckner,Mott Haven/Port Morris,4.624,699,16.04,0,0.48,1.42,0,0,0,12.28,12.28,FALSE,Feb,28,1,48,Tue,night,Bronx,Bronx,FALSE
Uber,Times Sq/Theatre District,Sutton Place/Turtle Bay North,1.58,420,8.7,0,0.26,0.77,2.75,0,0,6.04,6.04,FALSE,Feb,28,3,11,Tue,night,Manhattan,Manhattan,FALSE
Uber,Washington Heights North,Soundview/Bruckner,4.26,594,13.1,0,0.39,1.16,0,0,0,10.78,10.78,FALSE,Feb,28,3,58,Tue,night,Manhattan,Manhattan,FALSE
Uber,Upper East Side North,Battery Park City,8.57,1143,51.22,0,1.54,4.55,2.75,0,0,35.02,35.02,FALSE,Feb,28,6,59,Tue,morning,Manhattan,Manhattan,FALSE
Lyft,East Harlem North,Mott Haven/Port Morris,1.98,435,10.65,0,0.32,0.94,0,0,0,6.53,6.53,FALSE,Feb,28,7,5,Tue,morning,Manhattan,Manhattan,FALSE
Uber,Battery Park City,TriBeCa/Civic Center,1.13,368,9.33,0,0.28,0.83,2.75,0,0,5.87,5.87,FALSE,Feb,28,7,14,Tue,morning,Manhattan,Manhattan,FALSE
Uber,Ridgewood,West Chelsea/Hudson Yards,7.58,2828,42.75,6.55,1.48,4.38,2.75,0,8.68,37.61,46.29,FALSE,Feb,28,8,2,Tue,morning,Queens,Queens,TRUE
Lyft,LaGuardia Airport,Fort Greene,10.16,1917,39.3,0,1.25,3.71,0,2.5,0,30.54,30.54,FALSE,Feb,28,10,34,Tue,morning,Queens,Queens,FALSE
Uber,West Chelsea/Hudson Yards,Lincoln Square East,2.78,933,28.3,0,0.85,2.51,2.75,0,6.88,20.75,27.63,FALSE,Feb,28,11,15,Tue,morning,Manhattan,Manhattan,TRUE
Uber,Fresh Meadows,Forest Hills,4.44,934,20.47,0,0.61,1.82,0,0,0,14.18,14.18,FALSE,Feb,28,11,19,Tue,morning,Queens,Queens,FALSE
Uber,Fordham South,Belmont,0.56,293,8.03,0,0.24,0.71,0,0,0,5.44,5.44,FALSE,Feb,28,12,4,Tue,afternoon,Bronx,Bronx,FALSE
Lyft,Lenox Hill West,East Chelsea,4.251,1693,22.5,0,0.67,1.99,2.75,0,5.02,21.13,26.15,FALSE,Feb,28,12,11,Tue,afternoon,Manhattan,Manhattan,TRUE
Lyft,Park Slope,Crown Heights North,2.351,926,18.72,0,0.56,1.66,0,0,0,11.59,11.59,FALSE,Feb,28,12,33,Tue,afternoon,Brooklyn,Brooklyn,FALSE
Lyft,Midwood,Homecrest,1.425,622,9.82,0,0.29,0.87,0,0,0,7.6,7.6,FALSE,Feb,28,13,53,Tue,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Mount Hope,University Heights/Morris Heights,0.99,519,9.82,0,0.29,0.87,0,0,0,6.48,6.48,FALSE,Feb,28,13,58,Tue,afternoon,Bronx,Bronx,FALSE
Uber,East Village,Union Sq,1.13,363,8.22,0,0.25,0.73,2.75,0,0,5.65,5.65,FALSE,Feb,28,14,2,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Greenwich Village South,World Trade Center,2.96,874,19.75,0,0.59,1.75,2.75,0,0,11.8,11.8,FALSE,Feb,28,14,20,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Sutton Place/Turtle Bay North,East Chelsea,1.91,1079,18.06,0,0.54,1.6,2.75,0,0,12.94,12.94,FALSE,Feb,28,15,1,Tue,afternoon,Manhattan,Manhattan,FALSE
Lyft,Clinton East,JFK Airport,17.702,3742,76.75,5.76,2.55,7.55,2.75,2.5,0,56.99,56.99,TRUE,Feb,28,15,27,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Upper West Side South,East Tremont,9.42,2380,37.69,0,1.13,3.34,2.75,0,0,33.81,33.81,FALSE,Feb,28,15,53,Tue,afternoon,Manhattan,Manhattan,FALSE
Uber,Meatpacking/West Village West,West Chelsea/Hudson Yards,1.49,585,12.48,0,0.37,1.11,2.75,0,3,7.99,10.99,FALSE,Feb,28,16,24,Tue,afternoon,Manhattan,Manhattan,TRUE
Uber,Midtown East,Midtown East,0.58,267,8.22,0,0.25,0.73,2.75,0,0,5.42,5.42,FALSE,Feb,28,19,0,Tue,evening,Manhattan,Manhattan,FALSE
Lyft,Yorkville West,East Harlem South,1.452,456,8.88,0,0.27,0.79,2.75,0,2,6.07,8.07,FALSE,Feb,28,20,11,Tue,evening,Manhattan,Manhattan,TRUE
Uber,Long Island City/Queens Plaza,Astoria,1.81,679,11.54,0,0.35,1.02,0,0,0,9.54,9.54,FALSE,Feb,28,21,23,Tue,evening,Queens,Queens,FALSE
Uber,Jackson Heights,East Elmhurst,1.65,476,8.61,0,0.26,0.76,0,0,1,6.68,7.68,FALSE,Feb,28,22,58,Tue,night,Queens,Queens,TRUE
Uber,Inwood,Penn Station/Madison Sq West,10.28,1437,30.57,0,0.92,2.71,2.75,0,7.39,27.95,35.34,FALSE,Feb,28,23,53,Tue,night,Manhattan,Manhattan,TRUE
Uber,Canarsie,Canarsie,1.27,228,7.05,0,0.21,0.63,0,0,0,5.84,5.84,FALSE,Mar,1,0,32,Wed,night,Brooklyn,Brooklyn,FALSE
Lyft,West Chelsea/Hudson Yards,Park Slope,5.825,1426,25.19,0,0.76,2.24,2.75,0,0,20.58,20.58,FALSE,Mar,1,1,4,Wed,night,Manhattan,Manhattan,FALSE
Uber,Woodside,Middle Village,3.47,637,16.92,0,0.51,1.5,0,0,0,10.76,10.76,FALSE,Mar,1,1,10,Wed,night,Queens,Queens,FALSE
Lyft,Garment District,Greenpoint,5.868,1544,20.15,5.09,0.76,2.24,2.75,0,0,21.73,21.73,FALSE,Mar,1,2,17,Wed,night,Manhattan,Manhattan,FALSE
Uber,Carroll Gardens,East Chelsea,6.42,1306,30.55,6.55,1.11,3.29,2.75,0,0,20.38,20.38,FALSE,Mar,1,6,7,Wed,morning,Brooklyn,Brooklyn,FALSE
Lyft,Times Sq/Theatre District,Central Park,3.867,833,12.79,0,0.11,0.32,2.75,0,2.4,12.59,14.99,FALSE,Mar,1,6,38,Wed,morning,Manhattan,Manhattan,TRUE
Lyft,Bloomingdale,Central Harlem North,2.06,743,9.6,0,0.29,0.85,0,0,0,0,0,FALSE,Mar,1,6,41,Wed,morning,Manhattan,Manhattan,FALSE
Uber,Flatiron,JFK Airport,18.64,3062,92.42,6.55,3.04,9.01,2.75,2.5,0,76.02,76.02,TRUE,Mar,1,6,52,Wed,morning,Manhattan,Manhattan,FALSE
Uber,Stuyvesant Heights,LaGuardia Airport,12.29,2223,45.56,0,1.37,4.04,0,0,10.19,38.23,48.42,FALSE,Mar,1,9,2,Wed,morning,Brooklyn,Brooklyn,TRUE
Lyft,JFK Airport,Outside of NYC,28.705,3523,91.68,26.2,3.61,0,0,2.5,0,71.17,71.17,TRUE,Mar,1,9,45,Wed,morning,Queens,Queens,FALSE
Lyft,Bedford Park,Inwood Hill Park,2.821,1163,8.93,0,0.27,0.79,0,0,0,14.39,14.39,FALSE,Mar,1,9,48,Wed,morning,Bronx,Bronx,FALSE
Lyft,Bay Ridge,Prospect-Lefferts Gardens,6.359,1874,30.25,0,0.91,2.69,0,0,5.08,25.44,30.52,FALSE,Mar,1,9,48,Wed,morning,Brooklyn,Brooklyn,TRUE
Uber,Lincoln Square West,Battery Park City,4.79,1147,26.12,0,0.78,2.32,2.75,0,0,16.6,16.6,FALSE,Mar,1,10,18,Wed,morning,Manhattan,Manhattan,FALSE
Lyft,Central Harlem North,East Harlem South,4.211,1150,18.61,0.6,0.45,1.33,0,0,0,16,16,FALSE,Mar,1,10,38,Wed,morning,Manhattan,Manhattan,FALSE
Uber,Astoria,Queensbridge/Ravenswood,1.1,417,8.02,0,0.24,0.71,0,0,0,5.35,5.35,FALSE,Mar,1,11,38,Wed,morning,Queens,Queens,FALSE
Uber,Midtown Center,Murray Hill,1.05,666,11.15,0,0.33,0.99,2.75,0,0,8.34,8.34,FALSE,Mar,1,12,19,Wed,afternoon,Manhattan,Manhattan,FALSE
Lyft,Mount Hope,East Harlem North,4.959,1309,22.76,0.34,0.69,2.05,0,0,3.88,18.4,22.28,FALSE,Mar,1,12,38,Wed,afternoon,Bronx,Bronx,TRUE
Uber,Bensonhurst East,Coney Island,2.32,453,11.95,0,0.36,1.06,0,0,0,7.5,7.5,FALSE,Mar,1,12,48,Wed,afternoon,Brooklyn,Brooklyn,FALSE
Uber,West Village,Midtown East,2.75,1099,27.91,0,0.84,2.48,2.75,0,0,14.42,14.42,FALSE,Mar,1,13,29,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,Midtown South,TriBeCa/Civic Center,3.55,1268,24.07,0,0.72,2.14,2.75,0,0,16.77,16.77,FALSE,Mar,1,13,58,Wed,afternoon,Manhattan,Manhattan,FALSE
Uber,Sheepshead Bay,Kensington,4.5,1647,24.98,0,0.75,2.22,0,0,0,20.91,20.91,FALSE,Mar,1,16,20,Wed,afternoon,Brooklyn,Brooklyn,FALSE
Uber,Elmhurst,East Elmhurst,2.39,1078,14.95,0,0.45,1.33,0,0,0,13,13,FALSE,Mar,1,18,6,Wed,evening,Queens,Queens,FALSE
Uber,Flatlands,Flatbush/Ditmas Park,2.05,977,10.99,0,0.33,0.98,0,0,0,11.95,11.95,FALSE,Mar,1,19,0,Wed,evening,Brooklyn,Brooklyn,FALSE
Uber,Murray Hill,Long Island City/Hunters Point,2.46,695,14.14,6.55,0.62,1.84,2.75,0,3.88,12.16,16.04,FALSE,Mar,1,19,14,Wed,evening,Manhattan,Manhattan,TRUE
Uber,Bushwick South,Park Slope,5.85,1840,28.56,0,0.86,2.53,0,0,0,24.9,24.9,FALSE,Mar,1,19,26,Wed,evening,Brooklyn,Brooklyn,FALSE
Uber,Stapleton,Stapleton,0.92,211,7.97,0,0.24,0.71,0,0,0,5.38,5.38,FALSE,Mar,1,19,46,Wed,evening,Staten Island,Staten Island,FALSE
Uber,East Village,Little Italy/NoLiTa,1.24,497,11.35,0,0.34,1.01,2.75,0,0,7.65,7.65,FALSE,Mar,1,19,58,Wed,evening,Manhattan,Manhattan,FALSE
Uber,Clinton East,Clinton West,0.66,215,8.23,0,0.25,0.73,2.75,0,0,5.37,5.37,FALSE,Mar,1,20,5,Wed,evening,Manhattan,Manhattan,FALSE
Lyft,Boerum Hill,Crown Heights North,1.758,649,11.39,0,0.34,1.01,0,0,0,8.26,8.26,FALSE,Mar,1,20,9,Wed,evening,Brooklyn,Brooklyn,FALSE
Uber,Lenox Hill West,Van Nest/Morris Park,8.32,1376,29.66,0,0.89,2.63,2.75,0,0,23.73,23.73,FALSE,Mar,1,22,56,Wed,night,Manhattan,Manhattan,FALSE
Lyft,Central Harlem,Central Harlem North,0.985,335,6.84,0,0.21,0.61,0,0,0,5.47,5.47,FALSE,Mar,1,23,0,Wed,night,Manhattan,Manhattan,FALSE
Uber,West Farms/Bronx River,Claremont/Bathgate,2.48,462,11.15,0,0.33,0.99,0,0,0,7.92,7.92,FALSE,Mar,1,23,0,Wed,night,Bronx,Bronx,FALSE
Lyft,East Flatbush/Remsen Village,Flatbush/Ditmas Park,2.643,582,12.57,0,0.38,1.12,0,0,0,0,0,FALSE,Mar,1,23,29,Wed,night,Brooklyn,Brooklyn,FALSE
Uber,TriBeCa/Civic Center,Park Slope,5.76,1411,28.4,0,0.85,2.52,2.75,0,0,20.96,20.96,FALSE,Mar,1,23,45,Wed,night,Manhattan,Manhattan,FALSE
Uber,University Heights/Morris Heights,West Concourse,1.61,471,8.9,0,0.27,0.79,0,0,0,6.97,6.97,FALSE,Mar,2,0,17,Thu,night,Bronx,Bronx,FALSE
Uber,West Chelsea/Hudson Yards,JFK Airport,18.22,3472,70.7,6.55,2.39,7.08,2.75,2.5,0,55.01,55.01,TRUE,Mar,2,6,15,Thu,morning,Manhattan,Manhattan,FALSE
Lyft,Stuyvesant Heights,Stuyvesant Heights,0.702,459,8.37,0,0.25,0.74,0,0,0,5.47,5.47,FALSE,Mar,2,6,54,Thu,morning,Brooklyn,Brooklyn,FALSE
Uber,Lincoln Square East,Lenox Hill East,1.97,964,18.95,0,0.57,1.68,2.75,0,0,11.42,11.42,FALSE,Mar,2,7,6,Thu,morning,Manhattan,Manhattan,FALSE
Uber,Prospect-Lefferts Gardens,East Flatbush/Farragut,0.48,214,12.49,0,0.37,1.11,0,0,0,11.73,11.73,FALSE,Mar,2,7,53,Thu,morning,Brooklyn,Brooklyn,FALSE
Uber,TriBeCa/Civic Center,Murray Hill,3.17,1884,25.84,0,0.78,2.29,2.75,0,6.33,31.53,37.86,FALSE,Mar,2,8,39,Thu,morning,Manhattan,Manhattan,TRUE
Uber,JFK Airport,Greenwich Village North,19.07,4730,67.13,6.55,2.29,6.76,2.75,2.5,13.19,67.89,81.08,TRUE,Mar,2,10,47,Thu,morning,Queens,Queens,TRUE
Uber,Murray Hill,Midtown Center,0.75,426,9.45,0,0.28,0.84,2.75,0,0,6.77,6.77,FALSE,Mar,2,11,15,Thu,morning,Manhattan,Manhattan,FALSE
Uber,Jamaica,Hillcrest/Pomonok,2.06,749,14.28,0,0.43,1.27,0,0,0,9.52,9.52,FALSE,Mar,2,12,2,Thu,afternoon,Queens,Queens,FALSE
Uber,Baisley Park,Prospect-Lefferts Gardens,10.57,2152,37.45,0,1.12,3.32,0,0,0,33.14,33.14,FALSE,Mar,2,12,49,Thu,afternoon,Queens,Queens,FALSE
Lyft,Lenox Hill East,Central Harlem North,6.812,1231,23.46,0,0.7,2.08,2.75,0,0,19.97,19.97,FALSE,Mar,2,13,31,Thu,afternoon,Manhattan,Manhattan,FALSE
Uber,Central Harlem North,Westchester Village/Unionport,6.34,1592,26.28,0,0.79,2.33,0,0,0,22.66,22.66,FALSE,Mar,2,14,9,Thu,afternoon,Manhattan,Manhattan,FALSE
Uber,Lower East Side,JFK Airport,16.44,4821,65.04,0,2.03,5.99,2.75,2.5,0,65.22,65.22,TRUE,Mar,2,14,39,Thu,afternoon,Manhattan,Manhattan,FALSE
Uber,Midtown Center,Battery Park City,4.19,1765,34.92,0,1.05,3.1,2.75,0,0,21.62,21.62,FALSE,Mar,2,15,19,Thu,afternoon,Manhattan,Manhattan,FALSE
Uber,Midtown Center,Midtown North,0.97,1091,30.95,0,0.93,2.75,2.75,0,3.73,28.32,32.05,FALSE,Mar,2,16,41,Thu,afternoon,Manhattan,Manhattan,TRUE
Uber,Rockaway Park,Bensonhurst West,11.56,1911,34.21,2.45,1.1,3.25,0,0,0,32.06,32.06,FALSE,Mar,2,17,55,Thu,afternoon,Queens,Queens,FALSE
Uber,Sunset Park East,Sunset Park West,0.66,461,7.86,0,0.24,0.7,0,0,0,5.75,5.75,FALSE,Mar,2,18,43,Thu,evening,Brooklyn,Brooklyn,FALSE
Uber,Clinton East,West Chelsea/Hudson Yards,2.27,722,15.52,0,0.47,1.38,2.75,0,3,9.65,12.65,FALSE,Mar,2,18,52,Thu,evening,Manhattan,Manhattan,TRUE
Lyft,Clinton West,Upper East Side South,2.691,900,18.22,0,0.55,1.62,2.75,0,4.63,11.77,16.4,FALSE,Mar,2,19,9,Thu,evening,Manhattan,Manhattan,TRUE
Uber,East Chelsea,UN/Turtle Bay South,2.46,1491,21.9,0,0.66,1.94,2.75,0,0,19.19,19.19,FALSE,Mar,2,19,22,Thu,evening,Manhattan,Manhattan,FALSE
Uber,Park Slope,Bensonhurst West,5.64,1217,29.49,0,0.88,2.62,0,0,0,18.52,18.52,FALSE,Mar,2,20,38,Thu,evening,Brooklyn,Brooklyn,FALSE
Lyft,Jackson Heights,Astoria,2.367,907,11.16,0,0.34,0.99,0,0,0,11.44,11.44,FALSE,Mar,2,20,42,Thu,evening,Queens,Queens,FALSE
Lyft,Forest Hills,Elmhurst,3.656,673,11.06,0,0.33,0.98,0,0,0,10.83,10.83,FALSE,Mar,2,20,58,Thu,evening,Queens,Queens,FALSE
Uber,South Ozone Park,JFK Airport,1.75,209,8.9,0,0.34,1.01,0,2.5,0,5.4,5.4,FALSE,Mar,2,21,43,Thu,evening,Queens,Queens,FALSE
Lyft,Clinton East,Greenpoint,6.363,1476,29.41,2.06,0.94,2.79,2.75,0,0,21.71,21.71,FALSE,Mar,2,22,2,Thu,night,Manhattan,Manhattan,FALSE
Uber,Greenwich Village South,Hudson Sq,2.06,841,18.96,0,0.57,1.68,2.75,0,0,10.38,10.38,FALSE,Mar,2,22,22,Thu,night,Manhattan,Manhattan,FALSE
Uber,West Farms/Bronx River,Van Nest/Morris Park,1.42,461,9.79,0,0.29,0.87,0,0,0,6.05,6.05,FALSE,Mar,2,22,41,Thu,night,Bronx,Bronx,FALSE
Lyft,Times Sq/Theatre District,West Farms/Bronx River,11.809,1324,35.04,0,1.05,3.11,2.75,0,7.55,29.9,37.45,FALSE,Mar,2,22,56,Thu,night,Manhattan,Manhattan,TRUE
Uber,Randalls Island,University Heights/Morris Heights,5.76,2095,22.13,10,0.96,2.85,0,0,0,27.05,27.05,FALSE,Mar,2,23,49,Thu,night,Manhattan,Manhattan,FALSE
Uber,East Village,Crown Heights North,4.67,1075,23.81,0,0.71,2.11,2.75,0,0,17.56,17.56,FALSE,Mar,3,1,24,Fri,night,Manhattan,Manhattan,FALSE
Uber,West Chelsea/Hudson Yards,JFK Airport,18.54,2460,68.82,6.55,2.34,6.91,2.75,2.5,0,55.37,55.37,TRUE,Mar,3,5,30,Fri,night,Manhattan,Manhattan,FALSE
Uber,Midtown South,Lenox Hill East,2.75,1766,42,0,1.26,3.73,2.75,0,10,31.67,41.67,FALSE,Mar,3,7,45,Fri,morning,Manhattan,Manhattan,TRUE
Lyft,East Tremont,East Tremont,1.094,390,9.08,0,0.21,0.63,0,0,0,5.47,5.47,FALSE,Mar,3,8,18,Fri,morning,Bronx,Bronx,FALSE
Uber,Bushwick South,TriBeCa/Civic Center,5.91,2732,37.71,0,1.13,3.35,2.75,0,0,32.77,32.77,FALSE,Mar,3,8,19,Fri,morning,Brooklyn,Brooklyn,FALSE
Uber,West Chelsea/Hudson Yards,Battery Park City,3.1,846,18.86,0,0.57,1.67,2.75,0,0,12.05,12.05,FALSE,Mar,3,8,49,Fri,morning,Manhattan,Manhattan,FALSE
Uber,Rockaway Park,Far Rockaway,4.04,1002,17.82,0,0.53,1.58,0,0,0,29.77,29.77,FALSE,Mar,3,9,48,Fri,morning,Queens,Queens,FALSE
Uber,Bedford Park,Claremont/Bathgate,3.57,1305,21.38,0,0.64,1.9,0,0,0,16.57,16.57,FALSE,Mar,3,10,32,Fri,morning,Bronx,Bronx,FALSE
Uber,Jackson Heights,Steinway,2.32,380,11.56,0,0.35,1.03,0,0,0,6.39,6.39,FALSE,Mar,3,10,44,Fri,morning,Queens,Queens,FALSE
Uber,Penn Station/Madison Sq West,Old Astoria,11.47,2486,50.03,6.55,1.7,5.02,2.75,0,0,37.57,37.57,FALSE,Mar,3,12,41,Fri,afternoon,Manhattan,Manhattan,FALSE
Uber,Queens Village,Morningside Heights,18.04,2285,49.36,6.55,1.68,4.96,0,0,0,44,44,FALSE,Mar,3,13,7,Fri,afternoon,Queens,Queens,FALSE
Uber,East Village,Yorkville East,3.99,1353,23.62,0,0.71,2.1,2.75,0,0,17.54,17.54,FALSE,Mar,3,13,16,Fri,afternoon,Manhattan,Manhattan,FALSE
Uber,Midtown Center,Yorkville West,2.65,1263,21.73,0,0.65,1.93,2.75,0,0,15.05,15.05,FALSE,Mar,3,13,28,Fri,afternoon,Manhattan,Manhattan,FALSE
Uber,West Chelsea/Hudson Yards,Midtown North,1.83,1012,17.41,0,0.52,1.55,2.75,0,0,12.42,12.42,FALSE,Mar,3,14,46,Fri,afternoon,Manhattan,Manhattan,FALSE
Lyft,Upper East Side South,Lenox Hill East,0.899,312,6.23,0,0.19,0.55,2.75,0,0,5.47,5.47,FALSE,Mar,3,15,41,Fri,afternoon,Manhattan,Manhattan,FALSE
Uber,West Concourse,Allerton/Pelham Gardens,9.78,2509,40.88,0,1.23,3.63,0,0,0,36.95,36.95,FALSE,Mar,3,16,56,Fri,afternoon,Bronx,Bronx,FALSE
Uber,TriBeCa/Civic Center,West Village,1.43,541,11.13,0,0.33,0.99,2.75,0,3,7.22,10.22,FALSE,Mar,3,17,54,Fri,afternoon,Manhattan,Manhattan,TRUE
Uber,Brownsville,East New York/Pennsylvania Avenue,1.02,433,8.86,0,0.27,0.79,0,0,0,5.35,5.35,FALSE,Mar,3,18,22,Fri,evening,Brooklyn,Brooklyn,FALSE
Uber,Lincoln Square West,Upper West Side South,1,389,16.55,0,0.5,1.47,2.75,0,0,12.85,12.85,FALSE,Mar,3,18,27,Fri,evening,Manhattan,Manhattan,FALSE
Uber,Middle Village,Middle Village,0.68,186,7.98,0,0.24,0.71,0,0,0,6.06,6.06,FALSE,Mar,3,19,3,Fri,evening,Queens,Queens,FALSE
Uber,Lower East Side,DUMBO/Vinegar Hill,2.98,1063,23.89,0,0.72,2.12,2.75,0,0,13.59,13.59,FALSE,Mar,3,19,20,Fri,evening,Manhattan,Manhattan,FALSE
Uber,East Chelsea,Morningside Heights,5.09,1130,26.99,0,0.81,2.4,2.75,0,0,16.9,16.9,FALSE,Mar,3,19,29,Fri,evening,Manhattan,Manhattan,FALSE
Uber,Murray Hill-Queens,Lenox Hill West,13.81,1968,35.65,6.55,1.27,3.75,2.75,0,0,35.36,35.36,FALSE,Mar,3,20,28,Fri,evening,Queens,Queens,FALSE
Uber,Midtown Center,Gramercy,1.78,783,22.61,0,0.68,2.01,2.75,0,0,17.79,17.79,FALSE,Mar,3,20,37,Fri,evening,Manhattan,Manhattan,FALSE
Uber,Midtown North,Upper East Side North,1.29,336,8.21,0,0.25,0.73,2.75,0,0,5.47,5.47,FALSE,Mar,3,20,40,Fri,evening,Manhattan,Manhattan,FALSE
Uber,Brownsville,Coney Island,10.72,1944,34.66,0,1.04,3.08,0,0,0,31.33,31.33,FALSE,Mar,3,20,53,Fri,evening,Brooklyn,Brooklyn,FALSE
Lyft,Clinton West,East Chelsea,1.781,606,10.05,0,0.3,0.89,2.75,0,0,7.89,7.89,FALSE,Mar,3,21,10,Fri,evening,Manhattan,Manhattan,FALSE
Uber,Bedford,Bushwick North,2.35,1019,16.63,0,0.5,1.48,0,0,0,13.08,13.08,FALSE,Mar,3,21,16,Fri,evening,Brooklyn,Brooklyn,FALSE
Uber,East Tremont,City Island,8.71,1185,21.42,0,0.64,1.9,0,0,0,22.24,22.24,FALSE,Mar,3,21,21,Fri,evening,Bronx,Bronx,FALSE
Uber,Washington Heights South,Upper West Side North,4.98,1016,18.91,0,0.57,1.68,2.75,0,0,15.61,15.61,FALSE,Mar,3,21,22,Fri,evening,Manhattan,Manhattan,FALSE
Lyft,UN/Turtle Bay South,Prospect Heights,7.335,1709,30.19,1.97,0.96,2.85,2.75,0,0,25.09,25.09,FALSE,Mar,3,21,50,Fri,evening,Manhattan,Manhattan,FALSE
Lyft,East Harlem South,Lincoln Square West,2.783,662,8.71,0,0.26,0.77,2.75,0,0,9.65,9.65,FALSE,Mar,3,21,58,Fri,evening,Manhattan,Manhattan,FALSE
Uber,Chinatown,Bushwick South,4.27,1575,49.18,0,1.48,4.36,2.75,0,0,30.95,30.95,FALSE,Mar,4,0,17,Sat,night,Manhattan,Manhattan,FALSE
